	Hhon|peptidergic_alpha	Hhon|peptidergic_beta	Hhon|peptidergic_delta	Hhon|peptidergic_epsilon	Hhon|peptidergic_epsilon_like	Hhon|peptidergic_eta	Hhon|peptidergic_gamma	Hhon|peptidergic_gamma_like	Hhon|peptidergic_iota	Hhon|peptidergic_iota_like	Hhon|peptidergic_kappa	Hhon|peptidergic_lambda	Hhon|peptidergic_mu	Hhon|peptidergic_mu_like	Hhon|peptidergic_omicron	Hhon|peptidergic_other_1	Hhon|peptidergic_other_2	Hhon|peptidergic_progenitors	Hhon|peptidergic_theta	Hhon|peptidergic_theta_like	Hhon|peptidergic_zeta
Hhon|peptidergic_alpha	1.0000000000000222	0.0007871322332975133	0.0	0.0018760992689005045	0.0	0.0	0.0	0.0003700530903642824	0.0	0.0	0.002080148527937832	0.0	0.0	0.0013509287661028254	0.0	0.0	0.0	0.052647923878021065	0.0	0.0	0.0
Hhon|peptidergic_beta	0.0007871322332975133	0.9999999999998419	0.0	0.0	0.0008725453179050795	0.0	0.0	0.0	0.0	0.0	0.0	0.0038060776356958663	0.0	0.0	0.00043629755568426687	0.02495198662900487	0.0	0.0	0.0	0.0	0.0
Hhon|peptidergic_delta	0.0	0.0	0.9999999999999519	0.013610706435938749	0.0	0.0008994509999466454	0.0	0.0	0.0	0.0	0.0014124354774840077	0.0	0.0	0.0	0.0	0.028879435827448938	0.08126889440856773	0.0	0.0	0.005444549925719518	0.0
Hhon|peptidergic_epsilon	0.0018760992689005045	0.0	0.013610706435938749	1.0000000000001337	0.15854771766673717	0.002306322481291216	0.0	0.0	0.0	0.0	0.0	0.0	0.0005436823518783323	0.00654698628816595	0.16470446111678724	0.4249338580462067	0.11231488432572231	0.0	0.0	0.0	0.0020164104227468195
Hhon|peptidergic_epsilon_like	0.0	0.0008725453179050795	0.0	0.15854771766673717	0.999999999999927	0.0	0.0	0.0	0.0	0.0	0.0	0.0001356720071110652	0.0	0.0	0.013703076339413823	0.0047656461537960194	0.03902794170718088	0.0	0.0	0.0	0.0
Hhon|peptidergic_eta	0.0	0.0	0.0008994509999466454	0.002306322481291216	0.0	0.9999999999998455	0.002652038397497641	0.0	0.022871359047913733	0.0	0.013982654014674885	0.0004265979369584059	0.0	0.006068297078764518	0.02608310459278615	0.05197291381357111	0.09953589790974023	0.0	0.01723359795241172	0.46114056212708887	0.0
Hhon|peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	0.002652038397497641	0.9999999999999567	6.65927994563482e-05	0.0	0.0	0.0	0.00037124227769392155	0.0	0.0015948451254462022	0.008517565899365928	0.0003421775562673473	0.0	0.0039300537512395204	0.0	0.0	0.0
Hhon|peptidergic_gamma_like	0.0003700530903642824	0.0	0.0	0.0	0.0	0.0	6.65927994563482e-05	0.9999999999999376	0.0	0.0	0.0005372761089393259	0.0	0.0	0.014481651330606008	0.0009565585771683008	0.0	0.0	0.0	0.0	0.0	0.0
Hhon|peptidergic_iota	0.0	0.0	0.0	0.0	0.0	0.022871359047913733	0.0	0.0	1.000000000000047	0.0	0.22173583253906723	0.0	0.0	0.0	0.0	0.0	0.0	0.011409768170579234	0.01657928623323692	0.00027888247253229925	0.00016775923283101534
Hhon|peptidergic_iota_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000000000000092	0.0	0.0	0.0	0.07498356367335571	0.0	0.0	0.018774219701234298	0.0045374075847068	0.0	0.0	0.0
Hhon|peptidergic_kappa	0.002080148527937832	0.0	0.0014124354774840077	0.0	0.0	0.013982654014674885	0.0	0.0005372761089393259	0.22173583253906723	0.0	0.9999999999999336	0.0	0.0	0.0	0.0	0.0	0.0	0.06760756411733558	0.0878980581735012	0.0	0.026736227137105
Hhon|peptidergic_lambda	0.0	0.0038060776356958663	0.0	0.0	0.0001356720071110652	0.0004265979369584059	0.00037124227769392155	0.0	0.0	0.0	0.0	1.000000000000107	0.0	0.0	0.0	0.016155070234542754	0.0010193449872182047	0.004236493500609018	0.0	0.0034109898334367997	0.0007034429152168558
Hhon|peptidergic_mu	0.0	0.0	0.0	0.0005436823518783323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000001086	0.05993869946790881	0.0	0.008631421216775813	0.0	0.0	0.0	0.0019650516151426575	0.0
Hhon|peptidergic_mu_like	0.0013509287661028254	0.0	0.0	0.00654698628816595	0.0	0.006068297078764518	0.0015948451254462022	0.014481651330606008	0.0	0.07498356367335571	0.0	0.0	0.05993869946790881	0.9999999999999156	0.0	0.0	0.0018301185948471133	0.005064113606393007	0.0	0.0	0.0
Hhon|peptidergic_omicron	0.0	0.00043629755568426687	0.0	0.16470446111678724	0.013703076339413823	0.02608310459278615	0.008517565899365928	0.0009565585771683008	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000226	0.1369496287645921	0.02732664970593307	0.0	0.0	0.0	0.28615169537819435
Hhon|peptidergic_other_1	0.0	0.02495198662900487	0.028879435827448938	0.4249338580462067	0.0047656461537960194	0.05197291381357111	0.0003421775562673473	0.0	0.0	0.0	0.0	0.016155070234542754	0.008631421216775813	0.0	0.1369496287645921	0.999999999999907	0.2455280016653516	0.0	0.0	0.007515769793702563	0.012207066290224281
Hhon|peptidergic_other_2	0.0	0.0	0.08126889440856773	0.11231488432572231	0.03902794170718088	0.09953589790974023	0.0	0.0	0.0	0.018774219701234298	0.0	0.0010193449872182047	0.0	0.0018301185948471133	0.02732664970593307	0.2455280016653516	1.0000000000000138	0.0	0.0	0.008694100836836883	0.0
Hhon|peptidergic_progenitors	0.052647923878021065	0.0	0.0	0.0	0.0	0.0	0.0039300537512395204	0.0	0.011409768170579234	0.0045374075847068	0.06760756411733558	0.004236493500609018	0.0	0.005064113606393007	0.0	0.0	0.0	1.0000000000000382	0.0	0.0	0.0
Hhon|peptidergic_theta	0.0	0.0	0.0	0.0	0.0	0.01723359795241172	0.0	0.0	0.01657928623323692	0.0	0.0878980581735012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000001834	0.12275266477312778	0.0
Hhon|peptidergic_theta_like	0.0	0.0	0.005444549925719518	0.0	0.0	0.46114056212708887	0.0	0.0	0.00027888247253229925	0.0	0.0	0.0034109898334367997	0.0019650516151426575	0.0	0.0	0.007515769793702563	0.008694100836836883	0.0	0.12275266477312778	1.0000000000001732	0.0
Hhon|peptidergic_zeta	0.0	0.0	0.0	0.0020164104227468195	0.0	0.0	0.0	0.0	0.00016775923283101534	0.0	0.026736227137105	0.0007034429152168558	0.0	0.0	0.28615169537819435	0.012207066290224281	0.0	0.0	0.0	0.0	0.9999999999999996
