	Hhon|peptidergic_alpha	Hhon|peptidergic_beta	Hhon|peptidergic_delta	Hhon|peptidergic_epsilon	Hhon|peptidergic_epsilon_like	Hhon|peptidergic_eta	Hhon|peptidergic_gamma	Hhon|peptidergic_gamma_like	Hhon|peptidergic_iota	Hhon|peptidergic_iota_like	Hhon|peptidergic_kappa	Hhon|peptidergic_lambda	Hhon|peptidergic_mu	Hhon|peptidergic_mu_like	Hhon|peptidergic_omicron	Hhon|peptidergic_other_1	Hhon|peptidergic_other_2	Hhon|peptidergic_progenitors	Hhon|peptidergic_theta	Hhon|peptidergic_theta_like	Hhon|peptidergic_zeta
HoiH23|peptidergic_alpha	0.825892077354576	0.0	0.0	0.023725644653448168	0.00013022418474987953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008175327355348419	0.0	0.0	0.0	0.08442737785676814	0.0	0.0	0.0
HoiH23|peptidergic_beta	0.0	0.9980071408415313	0.0	4.466750638100882e-05	0.0034160231938321307	0.0	0.0	0.0	0.0	0.004636953820242866	0.0	0.0035282825836614826	0.0	0.0	0.000537728615915239	0.05425881300071468	0.0	0.0	0.0	0.0	0.0
HoiH23|peptidergic_epsilon	0.0	0.01625256629774683	0.0	0.7498061753657137	0.09715650544511148	0.2587896356848425	0.0	0.0	0.0	0.0	0.0	0.002736191868297859	0.008004781063094142	0.13484253596861107	0.09289410633735366	0.5002566633663216	0.30041140096579916	0.0	0.0	0.015944179639842244	0.0034256487542380395
HoiH23|peptidergic_eta	0.0	0.0	0.11556134615098335	0.317731620564851	0.01563329197504523	0.6251274842732893	0.0	0.0	0.040457695631389554	0.0	0.0	0.0	0.0	0.0	0.09585962742241701	0.4803646985362137	0.0	0.0	0.0	0.10525605938750479	0.0
HoiH23|peptidergic_gamma	0.0	0.0003813341411567524	0.0034279408630421776	0.0005500406656283441	0.0	0.006181155837328354	0.9943180110911042	0.00018583941140496213	0.0	0.016697955367116164	0.0	0.00019539659104959135	0.06037648748434497	0.02764810823713048	0.0	0.0	0.0	0.0004041836053114481	0.0	0.0	0.0
HoiH23|peptidergic_gamma_like	0.02047095027321043	0.0	0.030151705840544364	0.01500647064575897	0.0034734484510922804	0.0	0.002251415010298741	0.41808460894496297	0.0	0.03255801306430033	0.0	0.0075315746865487285	0.01643202359139819	0.4132855334505992	0.0035820449825759437	0.0	0.011185676648201987	0.0	0.0	0.0	0.0
HoiH23|peptidergic_iota	0.0	0.0	0.03916116706066001	0.0	0.0	0.08826466669344837	0.0	0.0	0.5899214264813298	0.03827477250360553	0.02928561095343884	0.0	0.0	0.0	0.008352223411972474	0.0	0.0	0.0	0.3554476882440924	0.043559951420574346	0.0
HoiH23|peptidergic_kappa	0.0	0.0	0.002949553730704695	0.0	0.0	0.04863619527757134	0.0	0.0004907562906725742	0.0722927432576965	0.10155141216699394	0.35808373131067445	0.0	0.0035035739896561178	0.0007870786288146502	0.0	0.0	0.0	0.031044124207418897	0.0057335141873861495	0.0	0.0
HoiH23|peptidergic_lambda	0.0	0.0	0.007210441039204857	0.005481744057768204	0.0	0.0	0.0008008965027931656	0.0	0.0	0.0	0.0	0.6463106201417012	0.0	0.00203467442602972	0.0	0.010232500276104136	0.004367962891212007	0.0	0.0	0.005211352490716321	0.0
HoiH23|peptidergic_mu	0.0	0.0	0.018768145479741004	0.007143904598188438	0.0002398717943811649	0.0	0.0	0.0	0.0	0.1712953286692527	0.0	0.0	0.8866143134986781	0.0764102530727205	0.0	0.05128065840799135	0.003922556196678295	0.0	0.0	0.011709106151917436	0.007439014646833672
HoiH23|peptidergic_mu_like	0.0	0.0	0.0	0.08488135469754088	0.000851959742037627	0.0	0.0006834198439654436	0.006272540256733702	0.0	0.02087530478704916	0.0	0.0	0.03452129405220575	0.628467104932728	0.0	0.0	0.011054360310918967	0.0	0.0	0.0	0.0
HoiH23|peptidergic_nu	0.0	0.004220614660524347	0.006674785714717791	0.012609558860412746	0.00024813859808049666	0.025387761542970712	0.0	0.0	0.0	0.0348543504045565	0.0	0.0	0.005390699011511147	0.008382343916733691	0.0	0.0026925032828028946	0.19729478441319953	0.0	0.0	0.0	0.0
HoiH23|peptidergic_progenitors	0.03163999641596872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059208021479981304	0.020894809885970814	3.234760502566045e-05	0.0	0.0	0.005958041027770519	0.0	0.8070480471004587	0.0	0.0	0.0
HoiH23|peptidergic_theta	0.0	0.0	0.04525102784491862	0.0	0.0	0.0678528829305178	0.0	0.0	0.1404436576494314	0.07470500132874122	0.0	0.0	0.06950531836383102	0.0037662174920694478	0.0	0.02144884877905765	0.0	0.0	0.6799553389527885	0.21876063239688817	0.0
HoiH23|peptidergic_zeta	0.0	0.0	0.0	0.0136499542819588	0.0	0.0	0.0	0.0	0.0	0.002017803552198976	0.039229432080803234	0.0	0.0	0.0013528645681796562	0.13122322697118377	0.02628769813129087	0.0012322892033631912	0.0	0.0	0.0	0.9222830773171765
HoiH23|peptidergic_zeta_like	0.0	0.0	0.375183817561723	0.1983820468723242	0.008478368507320868	0.5209839195897431	0.0	0.0013218607195763716	0.09626427410809694	0.0	0.0	0.018596291032575426	0.0	0.0	0.31219487400937923	0.24054856919968037	0.024702541131930846	0.0	0.10088371927214744	0.4115481995270926	0.08821788551152465
