	Hhon|peptidergic_alpha	Hhon|peptidergic_beta	Hhon|peptidergic_delta	Hhon|peptidergic_epsilon	Hhon|peptidergic_epsilon_like	Hhon|peptidergic_eta	Hhon|peptidergic_gamma	Hhon|peptidergic_gamma_like	Hhon|peptidergic_iota	Hhon|peptidergic_iota_like	Hhon|peptidergic_kappa	Hhon|peptidergic_lambda	Hhon|peptidergic_mu	Hhon|peptidergic_mu_like	Hhon|peptidergic_omicron	Hhon|peptidergic_other_1	Hhon|peptidergic_other_2	Hhon|peptidergic_progenitors	Hhon|peptidergic_theta	Hhon|peptidergic_theta_like	Hhon|peptidergic_zeta
Tadh|peptidergic_alpha	0.9829147427747105	0.0	0.0	0.03507650515268289	0.0	0.0	0.0	0.0	0.0	0.0	0.009085219005205881	0.0	0.0	0.0	0.0	0.0	0.0	0.031643477582499906	0.0	0.0	0.0
Tadh|peptidergic_beta	0.0	0.9648815418326186	0.0	0.0	0.0013139636161239483	0.0	0.0	0.0	0.0	0.008781637237832667	0.0	0.012269432706431889	0.0	0.0	0.0	0.0601653134445359	0.0	0.0	0.0	0.0	0.0
Tadh|peptidergic_delta	0.0008292733069448567	0.0	0.9984284856208065	0.07289628439882688	0.0	0.0	0.0	0.0	0.0002020899173688699	0.0	0.003591984284807151	0.0	0.0	0.0	0.0	0.0	0.12052368546187787	0.0	0.0032111346088677124	0.010619732288134362	0.0
Tadh|peptidergic_epsilon	0.0	0.0030978949095498464	0.10045085940971682	0.643538776288036	0.4743573430674702	0.05319878396707515	0.0	0.06363895431191527	0.0	0.0	0.0	0.0	0.006124203963447898	0.004975353694878096	0.0388252104865282	0.2149175388408463	0.40075812929332905	0.0	0.0	0.0	0.0
Tadh|peptidergic_eta	0.0	0.0	0.0	0.02175013629106745	0.0	0.9693058044645789	0.0	0.0	0.0011680480912929416	0.0	0.0025768466618630273	0.0	0.0	0.0	0.003932069913724643	0.04000922285531316	0.0	0.0	0.01766022054405104	0.5644576713808713	0.0
Tadh|peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	0.0015387361929961357	0.9999164318816577	0.0	0.0	0.0	0.0	0.0017529552595552946	0.0	0.0014087276127919515	0.0	0.0	0.0	0.00409459077436306	0.0	0.0	0.0
Tadh|peptidergic_gamma_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.930679194078205	0.0	0.0	0.0	0.0	0.0	0.03238237847401578	0.002103044033424956	0.0	0.0	0.0	0.0	0.0	0.0
Tadh|peptidergic_iota	0.0	0.0	0.0	0.0	0.0	0.020190402012023816	0.0	0.0	0.9980179683347312	0.0	0.49294377789677274	0.0	0.0	0.00014105130642989548	0.0	0.0	0.0003134050508921807	0.013067834128705116	0.016836670538701668	0.0	0.00020389519041120742
Tadh|peptidergic_kappa	0.0	0.0	0.0	0.0	0.0	0.048100545199540407	0.0005923953258348638	0.0	0.01314366160858689	0.005776437398397159	0.4650258613574605	0.0	0.0	0.0	0.0	0.0	0.0	0.05657652733635124	0.020246845942713195	0.0	0.0
Tadh|peptidergic_lambda	0.00048281634990088963	0.0023093880447522027	0.005624620699988855	0.00013725342658701384	0.0	0.0	0.0	0.002580312260273208	0.0	0.0	0.0	0.9456003000950362	0.0	0.0006078646397905958	0.0	0.003038820714366073	0.0011135344839201906	0.005180742485358384	0.0	0.0	0.0
Tadh|peptidergic_mu	0.0	0.0007903761108844971	0.0	0.007268754236039387	0.0020551555583147485	0.0021417559113934928	0.0	0.002222250615434265	0.007384316285607744	0.14667120028321315	0.0	0.0	0.9118867810793667	0.19675976584516766	0.0	0.020147362415036556	0.01297754305784124	0.0	0.0	0.004425718171231679	0.0
Tadh|peptidergic_mu_like	0.004257665290488952	0.0	0.0	0.006571541980637647	0.0	0.0	0.0	0.0	0.0	0.06899243699570566	0.0	0.0	0.23501524236753346	0.7399173839485887	0.0	0.0	0.014153660160081486	0.036057354592053004	0.0	0.0	0.0
Tadh|peptidergic_nu	0.20457184292353242	0.0	0.000981146058063964	0.044967096291161156	0.0	0.00749166485156343	0.019339793583592547	0.0008605675159439108	0.024662367548603664	0.30694777028492903	0.0	0.0005469557802914402	0.007470560254044725	0.03219371130742564	0.0	0.0	0.4480137629927341	0.0	0.009203288936081322	0.0	0.0
Tadh|peptidergic_omicron	0.0	0.0	0.0	0.02222082737475938	0.0	0.004623277081435488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9854189028786438	0.03323730261967239	0.009167283881319798	0.0	0.0	0.0019603266229196296	0.8445355841237913
Tadh|peptidergic_progenitors	0.0	0.0	0.017725795253367534	0.04143375356738821	0.012767547837930016	0.13956756652058055	0.028023891693792366	0.0	0.005300364488993928	0.0	0.07253211780110305	0.0117305218008304	8.975543411517673e-05	0.0001447645689081658	0.03645487927252469	0.049672231299961	0.0262700878372678	0.6116446219709357	0.0	0.07302387911994544	0.04018851210475659
Tadh|peptidergic_theta	0.0	0.0	0.0	0.0	0.0	0.07548551507907723	0.0	0.0	0.006444871883178306	0.15716256962714484	0.0	0.0026284236761213724	0.3344119111000145	0.017851026672256447	0.0	0.03941877718948402	0.0	0.0	0.5199451175628168	0.2971886523519371	0.0
Tadh|peptidergic_zeta	0.0	0.0	0.0	0.09346575266672544	0.0	0.0	0.0	0.0	0.0	0.008873548289664593	0.0	0.0	0.0	0.0	0.2740309047658094	0.003338925873584311	0.005550591092029183	0.0	0.0	0.0	0.6595356703033743
