	HoiH23|peptidergic_alpha	HoiH23|peptidergic_beta	HoiH23|peptidergic_epsilon	HoiH23|peptidergic_eta	HoiH23|peptidergic_gamma	HoiH23|peptidergic_gamma_like	HoiH23|peptidergic_iota	HoiH23|peptidergic_kappa	HoiH23|peptidergic_lambda	HoiH23|peptidergic_mu	HoiH23|peptidergic_mu_like	HoiH23|peptidergic_nu	HoiH23|peptidergic_progenitors	HoiH23|peptidergic_theta	HoiH23|peptidergic_zeta	HoiH23|peptidergic_zeta_like
Tadh|peptidergic_alpha	0.6584282865955561	0.0	0.0038647715642980106	0.0	0.0	0.024431287988197093	0.0	0.0	0.0	0.0	0.0	0.0	0.03389719607338027	0.0	0.0	0.0
Tadh|peptidergic_beta	0.0	0.9942802355612087	0.014474608020853348	0.0	5.5345004008663924e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.009495749156336398	0.0	0.0	0.0	0.013470927470690676
Tadh|peptidergic_delta	0.0	0.0	0.0	0.0	0.0	0.06327101402467927	0.06454022388492581	0.024387583794172524	0.003296234705278353	0.0014700965807063645	0.013518584662920875	0.016089526494581587	0.0	0.15353236955763264	0.0	0.16569670266877884
Tadh|peptidergic_epsilon	0.0	0.0	0.6303501125188901	0.2365138125892027	0.0	0.00347489738205352	0.0	0.0	0.0049204168687069835	0.004263055613104436	0.0	0.07636633538813792	0.0	0.0	0.01022465398868953	0.05596638412781969
Tadh|peptidergic_eta	0.0	0.0	0.27409991183619914	0.5471262772472273	0.0	0.0	0.05352859256742234	0.03399896627704442	0.005327642513992155	0.0	0.0	0.0	0.0	0.05731395996292312	0.0	0.33358445322191793
Tadh|peptidergic_gamma	0.0	0.0	0.0	0.0	0.9970272148091698	0.0022210481295852932	0.0	0.0	0.002255056545073282	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh|peptidergic_gamma_like	0.011785899894547106	0.0	0.0	0.0	0.0	0.5825987795497176	0.0	0.0	0.01783642854315312	0.019201276696606526	0.02212799579438702	0.009573308276041997	0.0	0.0	0.0	0.0
Tadh|peptidergic_iota	0.0	0.0	0.0	0.02080889837292811	0.0	0.0	0.6772374069563848	0.03554530439505647	0.0	0.012009196032115107	0.0	0.0	0.0	0.279033006217763	0.0	0.08857487821720489
Tadh|peptidergic_kappa	0.0	0.0	0.0	0.03289069793694732	0.0	0.0030962159797039332	0.04249680653488569	0.6139595567349797	0.0	0.0	0.0	0.0	0.0049494083668076986	0.018235075228294494	0.0	0.0
Tadh|peptidergic_lambda	0.0014141781076723943	0.001519270301081265	0.0	0.0	0.0	0.004797515793556598	0.0	0.0	0.6695470563071875	0.0	0.0	0.0009308312060232371	0.046113130905217334	0.0013024819020493303	0.0	0.0020257204620015208
Tadh|peptidergic_mu	0.0	0.0015118401544575559	0.00040509827692950044	0.0	0.03951780385345947	0.016375356165796575	0.0	0.0	1.850569316871999e-05	0.8962090010045448	0.14659054108403394	0.06536413036823441	0.01837018079862004	0.0	0.0	0.0
Tadh|peptidergic_mu_like	0.0021822157594857654	0.0	0.0	0.0	0.01084337553327638	0.25560560535131766	0.0	0.0	0.002098135134179317	0.18129362773527968	0.7207557809601859	0.11156619926202627	0.027606424326501417	0.0	0.0	0.0
Tadh|peptidergic_nu	0.0	0.0	0.028945680820808024	0.0	0.01389713889500677	0.047194825662634346	0.014192253139637743	0.0019386986628143843	0.007808373796463572	0.01382184190272956	0.03790137626615776	0.6695216954537041	0.0	0.015745085029978387	0.006175827466779268	0.0
Tadh|peptidergic_omicron	0.0	0.0	0.06890072418026988	0.03594491947474121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005545486835216445	0.0	0.0	0.4527691573754436	0.1541691226336631
Tadh|peptidergic_progenitors	0.031457074681746244	0.0	0.04668279429230571	0.04321162542171124	0.026232008803880588	0.0	0.0	0.0	0.012112872852257203	0.007914632585469311	0.029082675824266897	0.0	0.6494303845576457	0.0	0.032339232313064084	0.08645954657710073
Tadh|peptidergic_theta	0.0	0.0	0.0035889672548370687	0.01187334655516916	0.017446383766086777	0.0	0.13905850865542144	0.0011428733376925564	0.007812763416403506	0.2570366074861762	0.0	0.0	0.0	0.8048968274724345	0.0	0.14249814927083604
Tadh|peptidergic_zeta	0.0	0.0	0.0	0.0	0.0	0.0018969781505549614	0.0	0.0	0.0	0.0	0.0	0.0001033381503996519	0.0	0.0	0.856892332100233	0.02157095480319985
