	Tadh|peptidergic_alpha	Tadh|peptidergic_beta	Tadh|peptidergic_delta	Tadh|peptidergic_epsilon	Tadh|peptidergic_eta	Tadh|peptidergic_gamma	Tadh|peptidergic_gamma_like	Tadh|peptidergic_iota	Tadh|peptidergic_kappa	Tadh|peptidergic_lambda	Tadh|peptidergic_mu	Tadh|peptidergic_mu_like	Tadh|peptidergic_nu	Tadh|peptidergic_omicron	Tadh|peptidergic_progenitors	Tadh|peptidergic_theta	Tadh|peptidergic_zeta
Tadh|peptidergic_alpha	0.9999999999999598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031231952807136883	0.0	0.0026309683876745414	0.014197833533925926	0.0	0.0	0.0	0.0
Tadh|peptidergic_beta	0.0	0.9999999999999436	0.0	0.002574273281703565	0.0	0.0	0.0	0.0	0.0	0.0015374331426029051	0.00026428134082993096	0.0	0.0	0.0	0.0	0.0	0.0
Tadh|peptidergic_delta	0.0	0.0	1.0000000000002232	0.07917320151662009	0.0	0.0	0.0	0.0	0.0	0.006011703044394518	0.002994570689837596	0.044694171846530385	0.0	0.0	0.014990934321347484	0.0	0.0
Tadh|peptidergic_epsilon	0.0	0.002574273281703565	0.07917320151662009	0.9999999999999697	0.03094276203803739	0.0	0.020312753476732955	0.0	0.0	0.0	0.0	0.0	0.02333757128713544	0.04138729402135519	0.06019918402359135	0.0	0.0021016660933136544
Tadh|peptidergic_eta	0.0	0.0	0.0	0.03094276203803739	0.9999999999999749	0.0	0.0	0.0005787382748641431	0.020030366839794582	0.0	0.0	0.0	0.0	0.0030767383912061377	0.09860528219720734	0.0736258371475957	0.0
Tadh|peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	1.000000000000069	0.0	0.0	0.00083389522324742	0.0	0.0	0.0	0.0017972200355788354	0.0	0.020112130640110904	0.0	0.0
Tadh|peptidergic_gamma_like	0.0	0.0	0.0	0.020312753476732955	0.0	0.0	0.9999999999999204	0.0	0.0	0.001090478977956333	0.0007348206363418652	0.0	0.0	0.0	0.0	0.0	0.0
Tadh|peptidergic_iota	0.0	0.0	0.0	0.0	0.0005787382748641431	0.0	0.0	0.9999999999998785	0.00145768181196708	0.0	0.002469832498365857	0.0	0.0066829355893368355	0.0	0.000746021527155655	0.012918840830804601	0.0
Tadh|peptidergic_kappa	0.0	0.0	0.0	0.0	0.020030366839794582	0.00083389522324742	0.0	0.00145768181196708	1.0000000000000617	0.0	0.0	0.0	0.0	0.0	0.0058905222797449	0.01331500548306658	0.002174688524429407
Tadh|peptidergic_lambda	0.00031231952807136883	0.0015374331426029051	0.006011703044394518	0.0	0.0	0.0	0.001090478977956333	0.0	0.0	1.0000000000001936	0.0	0.0	0.0	0.0	0.009691614986575614	0.0016219491775484622	0.0009547257433477502
Tadh|peptidergic_mu	0.0	0.00026428134082993096	0.002994570689837596	0.0	0.0	0.0	0.0007348206363418652	0.002469832498365857	0.0	0.0	0.9999999999999747	0.08638711021232842	0.015273426903536768	0.0	0.021709462625025742	0.08650421971303332	0.0
Tadh|peptidergic_mu_like	0.0026309683876745414	0.0	0.044694171846530385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08638711021232842	0.9999999999999764	0.5707974385675725	0.0	0.042435210525085566	0.045366958942831645	0.0
Tadh|peptidergic_nu	0.014197833533925926	0.0	0.0	0.02333757128713544	0.0	0.0017972200355788354	0.0	0.0066829355893368355	0.0	0.0	0.015273426903536768	0.5707974385675725	1.0000000000001577	0.0	0.020502126760796283	0.008681453057803204	0.0021085124819692443
Tadh|peptidergic_omicron	0.0	0.0	0.0	0.04138729402135519	0.0030767383912061377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999343	0.025681621097947357	0.0	0.2374705674288232
Tadh|peptidergic_progenitors	0.0	0.0	0.014990934321347484	0.06019918402359135	0.09860528219720734	0.020112130640110904	0.0	0.000746021527155655	0.0058905222797449	0.009691614986575614	0.021709462625025742	0.042435210525085566	0.020502126760796283	0.025681621097947357	0.9999999999998688	0.0	0.019349243347662082
Tadh|peptidergic_theta	0.0	0.0	0.0	0.0	0.0736258371475957	0.0	0.0	0.012918840830804601	0.01331500548306658	0.0016219491775484622	0.08650421971303332	0.045366958942831645	0.008681453057803204	0.0	0.0	1.0000000000000535	0.002813541954362096
Tadh|peptidergic_zeta	0.0	0.0	0.0	0.0021016660933136544	0.0	0.0	0.0	0.0	0.002174688524429407	0.0009547257433477502	0.0	0.0	0.0021085124819692443	0.2374705674288232	0.019349243347662082	0.002813541954362096	0.9999999999999367
