	TrH2|peptidergic_alpha	TrH2|peptidergic_beta	TrH2|peptidergic_delta	TrH2|peptidergic_epsilon	TrH2|peptidergic_eta	TrH2|peptidergic_gamma	TrH2|peptidergic_gamma_like	TrH2|peptidergic_iota	TrH2|peptidergic_iota_like	TrH2|peptidergic_kappa	TrH2|peptidergic_lambda	TrH2|peptidergic_mu	TrH2|peptidergic_mu_like	TrH2|peptidergic_nu	TrH2|peptidergic_omicron	TrH2|peptidergic_progenitors	TrH2|peptidergic_theta	TrH2|peptidergic_zeta
Tadh|peptidergic_alpha	0.9149819683130781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011704601637172204	0.0	0.0
Tadh|peptidergic_beta	0.0	0.9283303642906405	0.0	0.0	0.0	0.0	0.0	0.0	0.007810967134283544	0.0	0.0008759972284886516	0.0	0.0	0.002003533601831554	0.0	0.0	0.0	0.0
Tadh|peptidergic_delta	0.0	0.0	0.9857900678683374	0.15697679149731478	0.0	0.0	0.0	0.0	0.0	0.0	0.002224992681772533	6.93012604386962e-05	0.01917912654838003	0.006188896374370196	0.0	0.0	0.0010224373702345676	0.0
Tadh|peptidergic_epsilon	0.0	0.00574654033951596	0.08001502385536077	0.8427410720662692	0.18452474406952557	0.0	0.025144315235931317	0.0	0.0	0.0030284541150870353	0.0	0.0021795825040647793	0.0	0.09554021955755836	0.028191528452339576	0.0	0.0	0.002387287816698026
Tadh|peptidergic_eta	0.0	0.0	0.0	0.0666128764632369	0.8558832254791928	0.0	0.0	0.022040359603173496	0.0	0.010060980383903453	0.0	0.0	0.0	0.0	0.0038624010695608602	0.007475626502082557	0.0393036888703299	0.0
Tadh|peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	0.999943006480699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.262047011062151e-05	0.0007351186583908769	0.0	0.0	0.0
Tadh|peptidergic_gamma_like	0.0	0.0	0.0	0.009744060478382855	0.00020468981703207866	0.0008083202696934415	0.998883086033302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh|peptidergic_iota	0.0	0.0	0.0	0.0	0.005118583344177499	0.0	0.0	0.8528452557947639	0.007864506006104808	0.07047903879333126	0.0	0.0013267653638767082	0.0	0.0	0.0	0.0	0.06755998888752612	0.0
Tadh|peptidergic_kappa	0.0	0.0	0.0	0.003139428250918618	0.009102420712096543	0.0	0.0	0.07754801361363287	0.0	0.9181470808678862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh|peptidergic_lambda	0.0	0.0008024362333134886	0.0050572126606288886	0.0	0.0	0.0	0.0009711295318910163	0.0	0.0	0.0	0.9959885395536994	0.00016336552262205322	0.0	0.0	0.0	0.015355525065634985	0.0	0.0
Tadh|peptidergic_mu	0.0	0.0010792412890706696	0.0011740149974827033	0.0	0.0	0.0	0.0010311535147237607	0.0	0.08897638219263539	0.0	0.0	0.49048860417779533	0.2841858432102333	0.0	0.0	0.0	0.023737573058153633	0.0
Tadh|peptidergic_mu_like	0.0	0.0	0.01609610925065929	0.0033251483411617074	0.0	0.0	0.0	0.0	0.6018980801528777	0.0	0.0004125163115388278	0.11418618649520795	0.8764146318440998	0.10816815410108058	0.0	0.0	0.0	0.0
Tadh|peptidergic_nu	0.0	0.0	0.0	0.04407051101636339	0.0	0.002628594999165058	0.0	0.0	0.8800176018967732	0.0	0.0005707195943984198	0.000856760581591161	0.46008835939700593	0.3845361054718207	0.0	0.0	0.0	0.0029670261448856722
Tadh|peptidergic_omicron	0.0	0.0	0.0	0.02821492565003611	0.009955116524474674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9883170540870475	0.013612609692408005	0.0	0.34307547793887183
Tadh|peptidergic_progenitors	0.0	0.0	0.014762591199551218	0.04953963319667805	0.09863513486978956	0.02221520705779076	0.0	0.0	0.010249377111292032	0.0	0.008012429418204106	0.005614110750893468	0.030404169899728002	0.0	0.04410736709794273	0.7877238310312727	0.0	0.02540812727650116
Tadh|peptidergic_theta	0.0	0.0	0.0031641112161912683	0.0	0.0559320061100043	0.0	0.0	0.10242551867831208	0.06495408597759021	0.0	0.00016310450219691365	0.1134494645810538	0.14261707068158944	0.0	0.0	0.0	0.7401492920081384	0.0
Tadh|peptidergic_zeta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002553520316051763	0.0	0.0	0.002577600840898954	0.22929302532212023	0.0	0.0019573263850139445	0.990287740749549
