	Hhon|peptidergic_alpha	Hhon|peptidergic_beta	Hhon|peptidergic_delta	Hhon|peptidergic_epsilon	Hhon|peptidergic_epsilon_like	Hhon|peptidergic_eta	Hhon|peptidergic_gamma	Hhon|peptidergic_gamma_like	Hhon|peptidergic_iota	Hhon|peptidergic_iota_like	Hhon|peptidergic_kappa	Hhon|peptidergic_lambda	Hhon|peptidergic_mu	Hhon|peptidergic_mu_like	Hhon|peptidergic_omicron	Hhon|peptidergic_other_1	Hhon|peptidergic_other_2	Hhon|peptidergic_progenitors	Hhon|peptidergic_theta	Hhon|peptidergic_theta_like	Hhon|peptidergic_zeta
TrH2|peptidergic_alpha	0.9181383013969497	0.0	0.0	0.010495127916456046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004357401794152648	0.0	0.004498914204851751	0.0	0.03257045747268509	0.0	0.0	0.0
TrH2|peptidergic_beta	0.0	0.795303339797138	0.0	0.0	0.0011093297561673332	0.0	0.0	0.0	0.0	0.012025726610298444	0.0	0.005406913295120459	0.0	0.0	0.0	0.03910000037783424	0.0	0.0	0.0	0.0	0.0
TrH2|peptidergic_delta	0.0	0.0	0.9987209353809237	0.02322412481486046	0.0	0.0	0.0	0.0	0.00028879671794434955	0.0	0.001881450514455642	0.0	0.0	0.0	0.0	0.0013042856181498233	0.11095963730570416	0.0	0.005994800672222746	0.013181213451712713	0.0
TrH2|peptidergic_epsilon	0.0	0.001972487920487559	0.13263199414718954	0.4894685440648202	0.2940815209201778	0.08365321729996278	0.0	0.01578307807589896	0.0	0.0	0.0	0.04004296516443271	0.0	0.0010110759291851127	0.0948024743518732	0.2016965586465044	0.3740154518351303	0.0	0.0	0.0	0.0
TrH2|peptidergic_eta	0.0	0.0	0.0007730064472521394	0.02080546015018148	0.002850211357520924	0.8189530070775826	0.0	0.00029916732260737547	0.012820465693200667	0.0	0.0	0.0	0.0	0.0	0.04298944525807782	0.14270957395113085	0.0	0.0	0.006858831310667701	0.41208588799609275	0.0
TrH2|peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	0.0017601366331947144	0.9997410085437272	0.0009281840382740167	0.0	0.0	0.0	0.0006342452217986258	0.0	0.0012827132273443688	0.0	0.0	0.0	0.0027283490471545946	0.0	0.0	0.0
TrH2|peptidergic_gamma_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9434986735435684	0.0	0.0	0.0	0.0	0.0	0.02437684064556862	0.0013304174929098717	0.0	0.0	0.0	0.0	0.0	0.0
TrH2|peptidergic_iota	0.0	0.0	0.0	0.0	0.0	0.03639936680918661	0.0	0.0	0.6523476536449571	0.03248536993234835	0.08610554417993063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29292000691594944	0.019881807317090106	0.0
TrH2|peptidergic_iota_like	0.007659840474549407	0.018549220980926952	0.0	0.0	0.0	0.0	0.0	0.0	0.0054688488356393105	0.2023475557191222	0.0	0.0	0.41089909378344913	0.7914913433015923	0.0	0.0	0.0	0.0	0.001527666662125905	0.0	0.0
TrH2|peptidergic_kappa	0.0	0.0	0.0	0.0	0.0	0.023502024509312904	0.0	0.0	0.14944958708524406	0.022022873905729733	0.3206987838994365	0.0	0.0	0.0	0.0	0.0017555206745692063	0.0	0.04847969933267046	0.013555498978121458	0.0	0.0
TrH2|peptidergic_lambda	0.0	0.001994039825249135	0.0033090520677727065	0.0037619137705471586	0.0	0.0009789944828333202	0.0	0.0001169925711124852	0.0	0.0	0.0	0.5333805102661535	0.0	0.0002823411222459922	0.0014632195568485972	0.02381949920567303	0.0	0.0	0.0	0.0	0.0027499767379385314
TrH2|peptidergic_mu	0.0	0.001736641799627647	0.0	0.0014136662630328883	0.0018867001305283766	0.0	0.0	0.0	0.0	0.13983279765165574	0.0	0.0	0.8211306757043081	0.12848241036333605	0.0	0.06808102318766134	0.024387012773033054	0.0	0.0	0.003713512811486603	0.002936789940537389
TrH2|peptidergic_mu_like	0.0	0.0	0.0	0.001751287916885293	0.0	0.0	0.0	0.0	0.0	0.06954982766440553	0.0	0.0	0.484566799054796	0.8018761323751962	0.0	0.0	0.012261307519495347	0.0	0.0	0.0	0.0029094715507535823
TrH2|peptidergic_nu	0.0	0.0036653769842507427	0.03893187091472284	0.09579884708020336	0.00635467217040915	0.0	0.004662101069405786	0.0	0.0	0.02884010172777984	0.02068159204576707	0.02239918377250988	0.0	0.02024252421504694	0.01656769106952402	0.0	0.05301025057587493	0.020409613118305858	0.0007646949323925626	0.004399085601761424	0.0
TrH2|peptidergic_omicron	0.0	0.0	0.0	0.04851440611863251	0.002712774430450743	0.009921855236177085	0.0016648644257495648	0.0	0.0	0.0	0.0	0.005814509939292466	0.0	0.0	0.7888429440813783	0.058786484261604786	0.0016312551710547143	0.0	0.0	0.0	0.5436017274407339
TrH2|peptidergic_progenitors	0.0733366047227448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053464515084137146	0.005774006145059765	0.0	0.004443952933046357	0.007153571797774002	0.003069554003819342	0.0	0.7641853477221919	0.0	0.0	0.005936692736600075
TrH2|peptidergic_theta	0.0	0.0	8.759548090734977e-05	0.0019379122817052925	0.0	0.036798178754559555	0.0	0.0	0.05332106439241245	0.04598811437812254	0.0010035775266861076	0.0	0.033567197401213424	0.0	0.0	0.08077138267479533	0.0	0.0	0.5197498789067586	0.30116483590357634	0.0
TrH2|peptidergic_zeta	0.0	0.0	0.0	0.01580772734817758	0.0	0.0	0.0	0.0	0.0	0.002095020163829566	0.0	0.0020038662399891973	0.0	0.0	0.25032571787562813	0.002804289844089975	0.0027290232176834296	0.0	0.0	0.0	0.8809097355701642
