	HoiH23|peptidergic_alpha	HoiH23|peptidergic_beta	HoiH23|peptidergic_epsilon	HoiH23|peptidergic_eta	HoiH23|peptidergic_gamma	HoiH23|peptidergic_gamma_like	HoiH23|peptidergic_iota	HoiH23|peptidergic_kappa	HoiH23|peptidergic_lambda	HoiH23|peptidergic_mu	HoiH23|peptidergic_mu_like	HoiH23|peptidergic_nu	HoiH23|peptidergic_progenitors	HoiH23|peptidergic_theta	HoiH23|peptidergic_zeta	HoiH23|peptidergic_zeta_like
TrH2|peptidergic_alpha	0.8467969334766857	0.0	0.006734890338097679	0.0009447700721103374	0.0	0.025171799375986948	0.0	0.0	0.0	0.0	0.0	0.0	0.016619146628047487	0.0	0.0	0.0
TrH2|peptidergic_beta	0.0	0.8811454598709565	0.009679872648022177	0.0	0.0004997285392472022	0.0	0.0	0.0	0.0	0.0	0.0	0.01023686705242134	0.0	0.0	0.0	0.020209090963620027
TrH2|peptidergic_delta	0.0	0.0	0.0052416703531797774	0.012275326783434282	0.0	0.015731902226803575	0.02837659481849642	0.0	0.0	0.0	0.020289868406225906	0.03682476103675327	0.0	0.17803655981424185	0.0	0.18938248548698228
TrH2|peptidergic_epsilon	0.0	0.0003724507888400449	0.6249237237417304	0.49199120212916997	0.0	0.0	0.0	0.0070283995691430914	0.026261929108483066	0.0	0.0024621531127842896	0.12360047536083808	0.0	0.0	0.0	0.0599771619167481
TrH2|peptidergic_eta	0.0	0.0	0.397004368855796	0.71644247751869	0.0	0.0	0.030763795843723924	0.0	0.00858353290989632	0.0	0.0	0.0	0.0	0.009893421142375658	0.0	0.28070513222158244
TrH2|peptidergic_gamma	0.0	0.0	0.0	0.0	0.9933486522645248	0.003478674658149657	0.0	0.0	0.0011328282536777522	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TrH2|peptidergic_gamma_like	0.031056492105973364	0.0	0.0	0.0	0.004453102377736891	0.4845029280202191	0.0	0.005997947844726084	0.0048809317976730915	0.006390553738539345	0.023078518683978182	0.01185704158016166	0.0	6.520733239771447e-05	0.0019731898580869927	0.00035540248169293174
TrH2|peptidergic_iota	0.0	0.0	0.0	0.006575472682066833	0.0	0.0	0.7368485732931862	0.02022847465945092	0.0	0.0	0.0	0.0	0.0	0.23534099633857675	0.0	0.0871214736413039
TrH2|peptidergic_iota_like	0.009567212638343434	0.025419386132805553	0.0	0.0	0.03261922934848406	0.4725046886454739	0.04453911258170032	0.011987549081302215	0.0004264894662763868	0.19893247540875816	0.06749095760891931	0.008472672592944647	0.0	0.020339339174379807	0.0	0.0
TrH2|peptidergic_kappa	0.0	0.0	0.00230472476368812	0.03373263615778248	0.0	0.003089906437298331	0.020430380297833877	0.6417816189954783	0.0	0.0	0.0	0.0	0.0	0.010562891351817583	0.0	0.002977706771700305
TrH2|peptidergic_lambda	0.0	0.0013936640246584135	0.00742199678688714	0.0013337871072091206	0.0	0.004439211376489835	0.0	0.0	0.35749027782961007	0.0	0.0	0.00023452460624315171	0.031189211986733693	0.0015508927204034631	0.0014567656971775148	0.007246582201906929
TrH2|peptidergic_mu	0.0	0.0	0.003701410022654212	0.0	0.023339215719492927	0.005832407983649339	0.0	0.0	0.0	0.5036483837186652	0.12665083377348357	0.03376849251184382	0.010289065718819353	0.0	0.001292806090839598	0.0
TrH2|peptidergic_mu_like	0.0	0.0	0.004268398130130838	0.0	0.024116557458849715	0.04230680892299992	0.0	0.0	0.0	0.6110722577867439	0.597131137476268	0.06774611809961494	0.0	0.0	0.0038190900872116427	0.0
TrH2|peptidergic_nu	0.0	0.0011568175143985347	0.02849767596628313	0.0	0.00011555231183070941	0.02762435573949068	0.0	0.00031396224309976323	0.0063955695353841045	0.0	0.004154410203301148	0.7245143001249822	0.0	0.0	0.0	0.0050725668242159365
TrH2|peptidergic_omicron	0.0	0.0	0.07298931171985205	0.06321905927946228	0.0009837811174410605	0.0	0.0	0.0	0.0010533561132755062	0.0	0.0	0.0	0.007093032015830711	0.0	0.24455276646310697	0.2014972833076986
TrH2|peptidergic_progenitors	0.03725974415349728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75275215717338	0.0	0.0008709066376125834	0.0
TrH2|peptidergic_theta	0.0	0.0	0.03108093242832935	0.044597215817427656	0.003951338281626201	0.0	0.10102706507106156	0.0	0.0	0.030603192465124017	0.0	0.0	0.0	0.688533871484317	0.0	0.14671113328762694
TrH2|peptidergic_zeta	0.0	0.0	0.0037560333468523795	0.0	0.0	0.004342624531875901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8774000793448999	0.05011757899319871
