	TrH2|peptidergic_alpha	TrH2|peptidergic_beta	TrH2|peptidergic_delta	TrH2|peptidergic_epsilon	TrH2|peptidergic_eta	TrH2|peptidergic_gamma	TrH2|peptidergic_gamma_like	TrH2|peptidergic_iota	TrH2|peptidergic_iota_like	TrH2|peptidergic_kappa	TrH2|peptidergic_lambda	TrH2|peptidergic_mu	TrH2|peptidergic_mu_like	TrH2|peptidergic_nu	TrH2|peptidergic_omicron	TrH2|peptidergic_progenitors	TrH2|peptidergic_theta	TrH2|peptidergic_zeta
TrH2|peptidergic_alpha	1.0000000000001545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009837696413210585	0.0	0.0	0.0	0.0	0.007948023338937267	0.0	0.0011810314807400002	0.0	0.0
TrH2|peptidergic_beta	0.0	0.9999999999999749	0.0	0.0	0.0	0.0	0.0	0.0	0.0025919175518116667	0.0	0.0010548477929358219	0.0003717892695196604	0.0	0.0030501897029323755	0.0	0.0	0.0	0.0
TrH2|peptidergic_delta	0.0	0.0	0.9999999999999138	0.06003837745055864	0.00010957959814058076	0.0	0.0	0.0	0.0	0.0	0.00310794859563067	0.00022774770890233458	0.004134458763002384	0.004426429061232861	0.0	0.0	0.0030564118385809588	0.0
TrH2|peptidergic_epsilon	0.0	0.0	0.06003837745055864	0.9999999999998372	0.13875551744838352	0.0	0.0030776098085204696	0.0	0.0	0.0007915800048368818	0.0005104753673783354	0.001970924532673111	0.021537775700394404	0.05342805495947389	0.0175907403170725	0.0	0.0	0.0
TrH2|peptidergic_eta	0.0	0.0	0.00010957959814058076	0.13875551744838352	0.9999999999999916	0.0	0.0006154008130390599	0.0005192875978872205	6.80975378838667e-05	0.008473308278289557	0.007090134526896783	0.0	0.0	0.0	0.0335938650743231	0.0008877692919126676	0.054956916054088555	0.0
TrH2|peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	1.000000000000016	0.0010978703171716532	0.0	0.0	0.0	0.0	0.0	0.0	7.177303419097235e-06	0.0014615840109305654	0.0	0.0	0.0
TrH2|peptidergic_gamma_like	0.0	0.0	0.0	0.0030776098085204696	0.0006154008130390599	0.0010978703171716532	0.9999999999999528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TrH2|peptidergic_iota	0.0	0.0	0.0	0.0	0.0005192875978872205	0.0	0.0	0.9999999999999754	0.0120762953078366	0.0034085579549466083	0.0	0.0018852323439120483	0.0	0.0	0.0	0.0	0.00937731587910192	0.0
TrH2|peptidergic_iota_like	0.0009837696413210585	0.0025919175518116667	0.0	0.0	6.80975378838667e-05	0.0	0.0	0.0120762953078366	0.9999999999999216	0.0	0.0	0.030641791569301215	0.42116054246642154	0.1287839461771516	0.0	0.0	0.0029033821019674075	0.0
TrH2|peptidergic_kappa	0.0	0.0	0.0	0.0007915800048368818	0.008473308278289557	0.0	0.0	0.0034085579549466083	0.0	0.9999999999999533	0.0	0.0018786858813392923	0.0	0.003096242980254029	0.0	0.0010502663605338662	0.004763075443619006	0.0
TrH2|peptidergic_lambda	0.0	0.0010548477929358219	0.00310794859563067	0.0005104753673783354	0.007090134526896783	0.0	0.0	0.0	0.0	0.0	1.0000000000000389	0.0005510074894730484	0.0	0.00042114522063433225	0.010420996494876615	0.008013037856680635	0.004114054528980916	0.0018113855671588318
TrH2|peptidergic_mu	0.0	0.0003717892695196604	0.00022774770890233458	0.001970924532673111	0.0	0.0	0.0	0.0018852323439120483	0.030641791569301215	0.0018786858813392923	0.0005510074894730484	1.0000000000000477	0.1887397952591301	0.0	0.0	0.007208497191265781	0.008636223274505181	0.00023883925254202968
TrH2|peptidergic_mu_like	0.0	0.0	0.004134458763002384	0.021537775700394404	0.0	0.0	0.0	0.0	0.42116054246642154	0.0	0.0	0.1887397952591301	0.9999999999998835	0.04038081412352129	0.0	0.0050434400465334765	0.001092491859686867	0.0022774015170428153
TrH2|peptidergic_nu	0.007948023338937267	0.0030501897029323755	0.004426429061232861	0.05342805495947389	0.0	7.177303419097235e-06	0.0	0.0	0.1287839461771516	0.003096242980254029	0.00042114522063433225	0.0	0.04038081412352129	0.9999999999999443	0.0	0.0	0.0	0.0
TrH2|peptidergic_omicron	0.0	0.0	0.0	0.0175907403170725	0.0335938650743231	0.0014615840109305654	0.0	0.0	0.0	0.0	0.010420996494876615	0.0	0.0	0.0	1.000000000000103	0.02591325955940509	0.0	0.21828100680378382
TrH2|peptidergic_progenitors	0.0011810314807400002	0.0	0.0	0.0	0.0008877692919126676	0.0	0.0	0.0	0.0	0.0010502663605338662	0.008013037856680635	0.007208497191265781	0.0050434400465334765	0.0	0.02591325955940509	0.9999999999999244	0.0	0.0
TrH2|peptidergic_theta	0.0	0.0	0.0030564118385809588	0.0	0.054956916054088555	0.0	0.0	0.00937731587910192	0.0029033821019674075	0.004763075443619006	0.004114054528980916	0.008636223274505181	0.001092491859686867	0.0	0.0	0.0	1.0000000000000908	0.0008433786722576447
TrH2|peptidergic_zeta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018113855671588318	0.00023883925254202968	0.0022774015170428153	0.0	0.21828100680378382	0.0	0.0008433786722576447	0.9999999999999755
