	Cragig|100	Cragig|62	Cragig|66	Cragig|80	Cragig|96	Cragig|Cath+-1	Cragig|Cath+-2	Cragig|Cilia-1	Cragig|Cilia-2	Cragig|Cilia-3	Cragig|Cilia-p1	Cragig|Cilia-p2	Cragig|Gut-1	Cragig|Gut-2	Cragig|Gut-3	Cragig|Gut-4	Cragig|Gut-rel-1	Cragig|Gut-rel-2	Cragig|Gut-rel-3	Cragig|Gut-top	Cragig|Gut-unk-1	Cragig|Gut-unk-2	Cragig|Gut-unk-3	Cragig|Gut-unk-4	Cragig|Mes-Macif+1	Cragig|Mes-Macif+2	Cragig|Mes-TegA+1	Cragig|Mes-TegA+2	Cragig|Mes-TegA+3	Cragig|Myo-1	Cragig|Myo-2	Cragig|Myo-p1	Cragig|Myo-p2	Cragig|Neo-1	Cragig|Neo-2	Cragig|Neo-3	Cragig|Neuron-APGWV+	Cragig|Neuron-GNRH+	Cragig|Neuron-IPRF+	Cragig|Neuron-LASGV+	Cragig|Neuron-MIP+	Cragig|Neuron-Sy65-4+	Cragig|Neuron-cilia-1	Cragig|Neuron-cilia-2	Cragig|Neuron-p1	Cragig|Neuron-p2	Cragig|Pharynx	Cragig|Proneph	Cragig|Rha-1	Cragig|Rha-2	Cragig|Unk
Procro|13.21	0.05474636062276605	0.0975066914264949	0.0	0.17383741315849127	0.0	0.13447212125525645	0.15680605014869944	0.14326145133700496	0.193042681084634	0.20060315240750773	0.0	0.0	0.08647846910771981	0.009074678875975727	0.102381740172863	0.1330493967122833	0.005008695316246686	0.08281394474111607	0.048502660241289824	0.09851306942857894	0.07306057324398493	0.08020407772924625	0.17130488493215923	0.13037168650516096	0.03430408631958063	0.037411397025528315	0.0	0.13549555356699788	0.0	0.1574875149416389	0.20457053491390398	0.0	0.0	0.0	0.0	0.0	0.06883619438514284	0.1494522532863277	0.010199052638614313	0.0	0.10548447160281901	0.12955343396152247	0.11064028740657182	0.09334597831648454	0.0	0.0	0.15181704858769468	0.20047282153750393	0.1046854064509222	0.07786844516105997	0.0
Procro|15	0.027985624553121712	0.0	0.0	0.2340565825620235	0.02497348160364447	0.08488016729658947	0.021159961038637924	0.22703647579631622	0.25697190415607546	0.2661598406085371	0.0	0.0	0.2031794225941279	0.10631285754625701	0.18057466039022874	0.1535722645500926	0.0	0.06375627987463232	0.012271461939503353	0.16196427930674745	0.09516140906997322	0.0064427457663171935	0.0	0.0	0.0034996800898752308	0.012240446335450395	0.0	0.05136754277944044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06190912213660609	0.11061912431179446	0.022435356946279676	0.0	0.09652433256150247	0.0	0.09248015105317332	0.06715830316138259	0.0	0.0	0.20873422367103855	0.2132416219233608	0.0	0.0	0.0
Procro|25	0.08848422720128966	0.0	0.0	0.15319424516025745	0.011107740860093081	0.007812847708823406	0.03064876439786801	0.07171163278200753	0.24343473249503528	0.18745156760781387	0.0	0.0	0.01380806887940378	0.0	0.10210846206945821	0.17082545497125431	0.09813372489396159	0.18157953721817002	0.10177820011439304	0.09459108052664397	0.0	0.0	0.18799182846105375	0.1868931413001597	0.01841539802778252	0.01823761965274365	0.0	0.19283479184198737	0.0	0.1324746855946853	0.21665324017834353	0.0	0.0	0.0	0.0	0.0	0.0718057388325206	0.18052927997054966	0.0	0.0	0.1215624007393435	0.14907628418573493	0.1247019221848184	0.1310367006119424	0.0	0.0	0.06760443805543771	0.14782223071820977	0.0	0.0	0.0
Procro|48	0.017525989357251394	0.21622350189743963	0.0	0.0138150540162406	0.0	0.05538020430639108	0.09639842023810519	0.0037493905129235886	0.04115994244167874	0.010139638326129668	0.0	0.0	0.0	0.0	0.01952537427621039	0.03173103887780254	0.024205643776655506	0.03394971333356418	0.032702308618558884	0.048149476421530425	0.0	0.028785145731174116	0.04415900089019867	0.03822330147567492	0.0027689705247922656	0.004391496208052296	0.007741938646117605	0.06763992657440462	0.010407130473080563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008573645357731972	0.03418282439750916	0.0	0.0	0.015895524313740705	0.06246449711354168	0.03020415558615655	0.025760771569972914	0.0	0.0	0.0008384324607095837	0.03161536347108256	0.2654492427529296	0.2252619238129805	0.0
Procro|49	0.03080074574257471	0.004912862907521765	0.0	0.02401406557235773	0.012756177634348564	0.021628927859851307	0.03225012424503271	0.0	0.07598720979436652	0.03941759124066783	0.0	0.0	0.005780868236343551	0.0	0.02423711645856639	0.06071195905537276	0.014571430701169586	0.07215378363423595	0.06290542722350691	0.0444586801423438	0.0	0.01330226602762899	0.13620509722581237	0.13969263157287296	0.047019849601586554	0.04046597031968105	0.0	0.09759879285756312	0.0	0.38143020687637985	0.3900814091098792	0.0	0.0	0.0	0.0	0.0	0.040126084005287395	0.10049377504923454	0.020047303912035856	0.0	0.07108557923338901	0.17729051517604552	0.05490647344089124	0.047209197032100574	0.0	0.0	0.0294390239607551	0.061386682204307326	0.01953372833509728	0.0014529017897225087	0.0
Procro|Cilia-1	0.013116048190977905	0.0	0.0	0.5778601519426853	0.06377995063790039	0.07008991831857711	0.0	0.518952650094939	0.35202062621615254	0.5044986645152333	0.0	0.23720141658384125	0.3135602858616304	0.1766569943647321	0.24525618525323728	0.10275198695873487	0.0	0.05554330554220595	0.0	0.0	0.13996732559888456	0.10252747380925208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050855613941552816	0.14108305605910923	0.0908412123251153	0.0	0.1797206290249677	0.0	0.163020263241985	0.10859320525878217	0.0	0.026213990056101432	0.30614757711162993	0.38458434568073163	0.0	0.0	0.03141764748104167
Procro|Cilia-2	0.035046245561720514	0.0	0.0	0.5348202699709849	0.06828031213405879	0.0624329982469731	0.0	0.49298346268321197	0.36961829182940387	0.5241989158022404	0.0	0.23798605108210277	0.2932990561012242	0.1595586805784794	0.21513397261803852	0.12350405717915636	0.0	0.05857761362940454	0.0009754252132817931	0.00014577918078698116	0.1550264110442867	0.10236518593655787	0.0	0.0	0.0	0.0	0.0	0.0019045957908116085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05542252854323469	0.1486035201582231	0.08761173858480956	0.0	0.1670030303654101	0.0	0.14676442951184385	0.11169696453293035	0.0	0.04442116264244877	0.29961017511028715	0.3719687766906662	0.0	0.0	0.05729679829343005
Procro|Cilia-3	0.011445643945184275	0.0	0.0	0.5658017053187857	0.04953645463668514	0.07766918847189841	0.0	0.5191117976453902	0.3466308787759179	0.5169947376301727	0.0	0.24710115668424146	0.30391320507512337	0.167235071826236	0.23056333041288685	0.09321177940810685	0.0	0.04341306543322083	0.0	0.0	0.14929535942223135	0.10841739557313525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03939040558844626	0.13792825920290377	0.09475932397118389	0.0	0.16113561403224486	0.0	0.16715991129098373	0.11448956370323	0.0	0.038372941206608314	0.29753700994179716	0.3594050041770494	0.0	0.0	0.03420078998512824
Procro|Cilia-4	0.044241143779981125	0.0	0.0	0.5265064198138839	0.03277599071241778	0.07433839450937664	0.0	0.49013378755370957	0.47157582308872303	0.5706799212732508	0.0	0.11763430576054057	0.26554781060263527	0.11923478238074353	0.2415972193288252	0.18652246052348107	0.0	0.1107258504797584	0.04605031897150347	0.050015902384773166	0.104816453825148	0.0748552066200531	0.007724979828583156	0.013441942728445504	0.0	0.0	0.0	0.09363199414823051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07288992979265634	0.21459967769372454	0.06881197889914924	0.0	0.19863152892122674	0.0	0.2325319632678787	0.19779555233534088	0.0	0.0	0.2953559493711958	0.37128336643786447	0.0	0.0	0.0
Procro|Hem-1	0.0	0.12306864669748271	0.0985702993292113	0.0	0.0	0.12657532960288737	0.1828352049595878	0.0	0.0	0.0	0.09271215652626552	0.025996210367040695	0.0	0.017708900712148895	0.0	0.0	0.0	0.0	0.0	0.034346543081676104	0.09790546828479947	0.06179406990541552	0.009252578320269204	0.0	0.0	0.0	0.03813958864465128	0.0	0.03617464149437753	0.0	0.0	0.09305355757920185	0.08841797104267768	0.09479569725449713	0.09192610973847032	0.08957795329063105	0.0	0.0	0.0	0.00718582776970564	0.0	0.0	0.0	0.0	0.07753776684839875	0.009657568276339294	0.0	0.0	0.09817166168935192	0.09949340772765941	0.05070975599763133
Procro|Hem-2	0.0	0.12058292656009377	0.06600672018967847	0.0	0.0	0.20404955634661343	0.27498812633033054	0.0	0.0	0.0	0.038962564157557014	0.01087765190401718	0.0168823415643374	0.05506389227798645	0.012105435162245022	0.0	0.0	0.0	0.0	0.09448771735796145	0.11310364647754731	0.045673515730680195	0.04327689996680551	0.0	0.0	0.0	0.07533371916914834	0.0	0.0784494920706382	0.0	0.0	0.006942156559791491	0.006566440455342533	0.005506349744238176	0.0018576531868728118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025884471489049137	0.01764155297524845	0.011641258440711358	0.0	0.05964668392647227	0.0757441152642757	0.0
