	13.21	15	25	48	49	Cilia-1	Cilia-2	Cilia-3	Cilia-4	Hem-1	Hem-2	Hem-3	Hem-4	Myo-AA	Myo-DVR-1	Myo-DVR-2	Myo-DVR-3	Myo-LVR-1	Myo-LVR-2	Myo-Pax6+	Myo-VVR	Neu-Ap	Neu-Pos	Pro-1	Pro-2	Pro-3	Pro-4	Pro-5	Pro-6	She-1	She-2	She-3	She-4	She-5	She-rel	Unk	Unk-Apical
Cragig_MZ497416.1:4079..4145_df_g	1.0461114215387892	1.0637017267640443	1.0335117971595105	1.0	1.0	1.0517931556481737	1.0110363605551467	1.0102411910417797	1.0	1.0036514926013287	1.0	1.0	1.0069175850289678	1.0066548749745736	1.0	1.0096200532976012	1.0	1.0	1.0458314860605937	1.0	1.0144373499445543	1.0	1.0	1.0	1.0	1.0094201606979798	1.027234668830866	1.0125965563362127	1.0	1.0	1.0	1.0	1.0	1.0	1.0294122780785615	1.0	1.0
Cragig_MZ497416.1:11544..12255_df_g	1.8748855759099856	1.0506025923356275	3.073603547811353	1.9984008762703471	2.870550868867832	1.2088230394222492	0.9507891238332667	1.089600619255272	2.9935976513016946	0.5297116912554664	0.5754131910015359	0.626914970690627	0.602330101617536	0.8076825493948913	1.0098569497594676	0.8586253973194058	0.9637868755203717	2.738282294775411	2.6017407805650574	1.0316520439102885	1.063148454171386	0.7703974803625361	0.7740989303003237	1.0395595103998174	0.8050585297278676	0.726587050522722	1.0	0.8864057419464342	1.036903284047242	0.9238181779812885	0.5834102926539132	0.9316796576413918	0.5267128955721114	1.1634158843462004	1.1291013022428598	1.2624317179932851	0.9049715907199543
Cragig_MZ497416.1:3953..4021_df_g	1.0040604857833333	0.9814534048840193	1.0473832829743919	0.9814534048840193	0.9814534048840193	0.9814534048840193	1.006806092788994	0.9915046567020418	0.9814534048840193	0.9958267802484677	1.006909950489761	0.9991245302782558	1.0086840485659538	1.0275019546139716	1.0074939553634286	1.0289732722844818	1.031394810262827	0.9814534048840193	1.0264348729290835	1.0225141759475718	1.0382771863814733	1.0030219304597925	0.9814534048840193	1.0377902169128987	1.0	1.009333306584703	1.0620998393928958	0.9938163379900086	0.9814534048840193	1.0370042358601368	0.996044566069072	0.9814534048840193	0.9940602596220672	0.9814534048840193	0.9814534048840193	0.9892089391547562	1.0377772697398104
Cragig_MZ497416.1:2092..2163_df_g	1.0	1.0317964857596047	1.0	1.0	1.0	1.0	1.0110363605551467	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.025322879102882	1.0	1.0	1.0	1.043386100033806	1.0	1.0	1.0574014127909992	1.0	1.0	1.0	1.0	1.0	1.0	1.0049455012387485	1.0	1.0064071927913183	1.0	1.0	1.0079020911559762	1.0
Cragig_ND4L	1.9038298371614228	0.801870583415002	3.083165748624209	2.45652909302463	3.0723886872945205	0.6884284343401883	1.0182428805493555	1.0144312191870228	2.4807211475579507	0.6987715129221017	0.6680442962421997	0.7355146479285904	0.661779060659642	0.9777267323536645	1.0479592713063348	0.9430258183492786	1.2154295259634031	3.097494539754595	3.179529431777812	1.238822144470953	1.0	0.7799854265117411	0.8598575429918902	1.1613391850918091	1.1511361776089541	1.030876890569174	1.183534979292476	1.0373465752916549	0.9595281626372677	0.7580696735698539	0.5263842726306716	0.538686489649781	0.5265964448110252	0.9635296500218228	1.0606778634578453	0.7910729883265564	0.8533114314061734
Cragig_MZ497416.1:15682..15753_df_g	0.985768120677592	1.0801219957591983	1.0519878430793188	0.985768120677592	0.985768120677592	0.985768120677592	1.018558762440725	1.0060195049199097	0.985768120677592	1.007461545673897	0.9959703725787021	0.9975906572011437	0.985768120677592	1.0054955825793297	1.0119231519605398	0.9952512625375866	1.0107306076209857	0.985768120677592	1.0309473385594048	1.0022304073510173	1.0	1.0514165225002914	0.985768120677592	1.1571689797553526	1.0233419867611593	0.9997152386915639	0.985768120677592	1.035870520117845	1.2412418040273216	0.985768120677592	1.0004234282737718	1.1025893622755938	0.9984303983169971	0.985768120677592	1.0147618067639423	0.985768120677592	0.985768120677592
Cragig_MZ497416.1:13238..13305_df_g	1.0692314787414974	1.0	1.0	1.0827366451317644	1.0	1.0	1.0110363605551467	1.0205437605634855	1.0	1.0073094807727283	1.0259375997668985	1.0240270654284465	1.0069175850289678	1.026714874181977	1.0	1.0096200532976012	1.0	1.0	1.0458314860605937	1.0083442030222909	1.0	1.0	1.0	1.0	1.0	1.0047040119900537	1.027234668830866	1.0125965563362127	1.0	1.0	1.0049455012387485	1.0	1.0	1.0	1.0	1.0079020911559762	1.0
Cragig_MZ497416.1:15768..15836_df_g	1.0	1.0	1.0	1.0	1.0	1.1037625923727101	1.00367307097904	1.0102411910417797	1.0	1.0	1.0103495453820288	1.0	1.0	1.0066548749745736	1.0	1.0	1.0	1.0	1.0458314860605937	1.0083442030222909	1.0	1.010960458401011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0566005789981259	1.0	1.0	1.019313830860283	1.0	1.0294122780785615	1.0	1.0
Cragig_CYTB	1.8238102838667158	0.7984180226109455	2.8944313688394248	2.2574215201579446	2.8157202421431866	0.7618977546583044	0.9987874324565095	1.119679011633644	2.874743013649064	0.7494843508290726	0.7026275943979564	0.7593508908197859	0.7244110387775511	0.9725459582852982	1.0510618356453065	0.9035715782832573	1.159071704331204	2.7420199987335105	2.634299512775236	1.3395879037705662	1.0738747244275448	0.8657324311383339	0.8463207320809657	1.0919215690437374	1.0504505292387882	0.9142544009178207	1.0	1.014951281801064	1.18044995417153	0.8161535932120019	0.5756343891704363	0.8440655729473961	0.551818599788275	1.0632023108825681	1.0903959785971882	0.8146040882819284	0.8547172981682436
Cragig_ND3	1.5017070863941924	0.8977625445328312	2.722168898998808	2.2567502751901345	1.7640587919266362	0.7002512156994428	1.0604949975113083	1.0912762603927681	2.3742521127132212	0.8458199540381556	0.7373010956499895	0.8404718547188602	0.6805261049116313	0.9737389949862356	1.0	0.9745690389801009	1.101652795913024	1.8724397920552815	2.2804048798657144	1.1021716319389625	0.8538222432804913	1.081550310778027	1.1295853978811037	1.1663820089404255	1.562884530243598	1.2166404529518737	0.9790664020505332	1.1240983942778304	0.6442891379467217	0.6587381078977577	0.6581859559396473	0.7632259406637483	0.7193522995180894	0.615923877809561	0.8491984259933839	0.8072440947067165	1.0656234417100858
