Cragig_G12931	Procro_g24553
Procro_g10000	Cragig_G19412
Procro_g8068	Cragig_G1146
Procro_g10001	Cragig_G1146
Procro_g8071	Cragig_G1146
Cragig_G5189	Procro_g10010
Cragig_G5190	Procro_g10010
Cragig_G2939	Procro_g10014
Cragig_G11824	Procro_g10015
Cragig_G11598	Procro_g10025
Cragig_G5239	Procro_g10026
Cragig_G5239	Procro_g24735
Procro_g10030	Cragig_G2016
Procro_g10030	Cragig_G2017
Procro_g7195	Cragig_G2017
Procro_g7195	Cragig_G2016
Cragig_G18876	Procro_g29326
Cragig_G21121	Procro_g1009
Cragig_G23410	Procro_g10195
Cragig_G14450	Procro_g10196
Cragig_G24601	Procro_g10215
Cragig_G24691	Procro_g10254
Cragig_G4562	Procro_g10281
Procro_g10333	Cragig_G21218
Procro_g10336	Cragig_G21120
Procro_g10350	Cragig_G826
Procro_g10389	Cragig_G934
Procro_g1047	Cragig_G27120
Cragig_G1668	Procro_g28978
Procro_g10508	Cragig_G1668
Procro_g10515	Cragig_G1559
Procro_g10516	Cragig_G2395
Cragig_G6554	Procro_g11176
Cragig_G6554	Procro_g41478
Cragig_G6554	Procro_g27023
Procro_g10517	Cragig_G6554
Procro_g10541	Cragig_G27365
Procro_g42323	Cragig_G30840
Procro_g10564	Cragig_G30840
Procro_g10609	Cragig_G15627
Procro_g8380	Cragig_G27352
Procro_g8382	Cragig_G27352
Procro_g10667	Cragig_G27358
Procro_g10670	Cragig_G2015
Procro_g1070	Cragig_G6936
Procro_g10716	Cragig_G7867
Cragig_G7867	Procro_g42752
Procro_g10730	Cragig_G35287
Procro_g10732	Cragig_G6341
Procro_g10749	Cragig_G2009
Cragig_G20761	Procro_g26581
Procro_g10751	Cragig_G20761
Procro_g10751	Cragig_G22307
Cragig_G22307	Procro_g26581
Procro_g6917	Cragig_G20761
Procro_g6917	Cragig_G22307
Procro_g14072	Cragig_G20761
Procro_g14072	Cragig_G22307
Procro_g14073	Cragig_G20761
Procro_g14073	Cragig_G22307
Procro_g10752	Cragig_G510
Procro_g10762	Cragig_G15293
Procro_g10762	Cragig_G15294
Procro_g10762	Cragig_G15295
Procro_g1078	Cragig_G23009
Procro_g10785	Cragig_G11896
Procro_g10812	Cragig_G1732
Procro_g10823	Cragig_G16192
Procro_g10823	Cragig_G16194
Cragig_G10655	Procro_g24396
Procro_g10828	Cragig_G10655
Procro_g43194	Cragig_G10655
Procro_g10831	Cragig_G11925
Procro_g10841	Cragig_G29325
Procro_g10842	Cragig_G17791
Cragig_G22410	Procro_g22632
Procro_g869	Cragig_G22410
Cragig_G24510	Procro_g10901
Cragig_G24824	Procro_g10904
Cragig_G26570	Procro_g10940
Cragig_G2250	Procro_g10981
Cragig_G22591	Procro_g110
Cragig_G3034	Procro_g11025
Cragig_G21283	Procro_g1103
Cragig_G34912	Procro_g11045
Cragig_G35332	Procro_g11158
Cragig_G35332	Procro_g34827
Cragig_G35332	Procro_g33906
Cragig_G4608	Procro_g11163
Cragig_G6413	Procro_g11175
Cragig_G6409	Procro_g11175
Cragig_G6412	Procro_g11175
Cragig_G18380	Procro_g11197
Cragig_G11809	Procro_g11229
Procro_g15078	Cragig_G11809
Cragig_G3189	Procro_g11258
Cragig_G4677	Procro_g11260
Cragig_G22480	Procro_g11268
Cragig_G5238	Procro_g11269
Cragig_G34539	Procro_g11272
Cragig_G32597	Procro_g11273
Cragig_G10705	Procro_g11278
Cragig_G26194	Procro_g11291
Cragig_G26194	Procro_g11296
Cragig_G10691	Procro_g11297
Cragig_G26849	Procro_g11317
Cragig_G15582	Procro_g11343
Cragig_G20461	Procro_g1135
Cragig_G10471	Procro_g11376
Cragig_G16269	Procro_g11379
Cragig_G15850	Procro_g11381
Cragig_G14097	Procro_g11387
Cragig_G14097	Procro_g29190
Procro_g9667	Cragig_G28969
Cragig_G28969	Procro_g38363
Cragig_G28969	Procro_g41236
Cragig_G28969	Procro_g29033
Cragig_G28969	Procro_g23133
Cragig_G28969	Procro_g20123
Cragig_G28969	Procro_g20940
Cragig_G28969	Procro_g26013
Cragig_G28969	Procro_g27134
Cragig_G28969	Procro_g4523
Cragig_G28969	Procro_g26683
Cragig_G28969	Procro_g11449
Cragig_G28969	Procro_g32722
Cragig_G28969	Procro_g32409
Cragig_G28969	Procro_g11022
Cragig_G28969	Procro_g40636
Cragig_G28969	Procro_g3988
Cragig_G28969	Procro_g19184
Procro_g25004	Cragig_G28969
Procro_g16351	Cragig_G28969
Cragig_G3592	Procro_g32409
Cragig_G3592	Procro_g11449
Cragig_G3592	Procro_g27134
Cragig_G3592	Procro_g20123
Cragig_G3592	Procro_g5579
Cragig_G3592	Procro_g20940
Cragig_G3592	Procro_g30131
Cragig_G3592	Procro_g41236
Cragig_G3592	Procro_g2531
Procro_g14703	Cragig_G28969
Procro_g905	Cragig_G28969
Procro_g905	Cragig_G3592
Procro_g9868	Cragig_G3592
Procro_g15993	Cragig_G28969
Cragig_G15492	Procro_g11417
Cragig_G2879	Procro_g11436
Cragig_G2879	Procro_g41085
Cragig_G2879	Procro_g15952
Procro_g6395	Cragig_G34127
Procro_g6395	Cragig_G6019
Procro_g6395	Cragig_G12522
Procro_g6395	Cragig_G289
Procro_g6395	Cragig_G16018
Procro_g16205	Cragig_G12522
Procro_g16205	Cragig_G30038
Procro_g16205	Cragig_G289
Procro_g16205	Cragig_G16018
Procro_g3757	Cragig_G34127
Procro_g35179	Cragig_G34127
Procro_g8704	Cragig_G34127
Procro_g3757	Cragig_G12522
Procro_g35179	Cragig_G12522
Procro_g8704	Cragig_G12522
Procro_g3757	Cragig_G6019
Procro_g35179	Cragig_G6019
Procro_g8704	Cragig_G6019
Procro_g4358	Cragig_G12522
Procro_g13583	Cragig_G34127
Procro_g13583	Cragig_G6019
Procro_g13583	Cragig_G12522
Procro_g5865	Cragig_G34127
Procro_g5865	Cragig_G6019
Procro_g5865	Cragig_G12522
Cragig_G289	Procro_g35420
Cragig_G16018	Procro_g35420
Cragig_G289	Procro_g32639
Cragig_G16018	Procro_g32639
Cragig_G289	Procro_g29233
Cragig_G16018	Procro_g29233
Cragig_G289	Procro_g40471
Cragig_G16018	Procro_g40471
Cragig_G289	Procro_g20660
Cragig_G16018	Procro_g20660
Cragig_G289	Procro_g21271
Cragig_G16018	Procro_g21271
Cragig_G289	Procro_g22031
Cragig_G289	Procro_g2840
Cragig_G16018	Procro_g22031
Cragig_G16018	Procro_g2840
Cragig_G289	Procro_g24850
Cragig_G16018	Procro_g24850
Cragig_G289	Procro_g11452
Cragig_G16018	Procro_g11452
Cragig_G34127	Procro_g4358
Cragig_G34127	Procro_g9685
Cragig_G34127	Procro_g32382
Cragig_G34127	Procro_g38087
Cragig_G34127	Procro_g28036
Cragig_G34127	Procro_g23804
Cragig_G34127	Procro_g21150
Cragig_G34127	Procro_g37513
Cragig_G34127	Procro_g7795
Cragig_G34127	Procro_g36796
Cragig_G34127	Procro_g31208
Cragig_G34127	Procro_g25051
Cragig_G34127	Procro_g35220
Cragig_G34127	Procro_g18634
Cragig_G34127	Procro_g38160
Cragig_G34127	Procro_g34476
Cragig_G34127	Procro_g22031
Cragig_G34127	Procro_g2840
Cragig_G34127	Procro_g35420
Cragig_G34127	Procro_g11452
Cragig_G34127	Procro_g38398
Cragig_G34127	Procro_g30718
Cragig_G34127	Procro_g36444
Cragig_G34127	Procro_g11230
Cragig_G34127	Procro_g32637
Cragig_G34127	Procro_g35601
Cragig_G6019	Procro_g4358
Cragig_G6019	Procro_g9685
Cragig_G6019	Procro_g32382
Cragig_G6019	Procro_g38087
Cragig_G6019	Procro_g28036
Cragig_G6019	Procro_g23804
Cragig_G6019	Procro_g21150
Cragig_G6019	Procro_g37513
Cragig_G6019	Procro_g7795
Cragig_G6019	Procro_g36796
Cragig_G6019	Procro_g31208
Cragig_G6019	Procro_g25051
Cragig_G6019	Procro_g35220
