TrH2_TrispH2_004461-RA	HoiH23_PlH23_009112-RA
Hhon_g00001.t1	HoiH23_PlH23_009112
Hhon_g00001.t1	TrH2_TrispH2_004461
Tadh_wf_g7100	HoiH23_PlH23_009112
Tadh_wf_g7100	TrH2_TrispH2_004461
Tadh_wf_g7100	Hhon_g00001.t1
Hhon_g00002.t1	HoiH23_PlH23_009111
Hhon_g00002.t1	TrH2_TrispH2_004460
TrH2_TrispH2_004460	HoiH23_PlH23_009111
Tadh_TriadG58222	HoiH23_PlH23_009111
Tadh_TriadG58222	TrH2_TrispH2_004460
Tadh_TriadG58222	Hhon_g00002.t1
TrH2_TrispH2_004459	HoiH23_PlH23_009110
Hhon_g00003.t1	HoiH23_PlH23_009110
Hhon_g00003.t1	TrH2_TrispH2_004459
Tadh_TriadG58221	HoiH23_PlH23_009110
Tadh_TriadG58221	TrH2_TrispH2_004459
Tadh_TriadG58221	Hhon_g00003.t1
Tadh_TriadG58220	HoiH23_PlH23_009109
Tadh_TriadG58220	TrH2_TrispH2_004458
Tadh_TriadG58220	Hhon_g00004.t1
TrH2_TrispH2_004458	HoiH23_PlH23_009109
Hhon_g00004.t1	HoiH23_PlH23_009109
Hhon_g00004.t1	TrH2_TrispH2_004458
Hhon_g00005.t1	HoiH23_PlH23_009108
Hhon_g00005.t1	TrH2_TrispH2_004457
Tadh_TriadG58219	HoiH23_PlH23_009108
Tadh_TriadG58219	TrH2_TrispH2_004457
Tadh_TriadG58219	Hhon_g00005.t1
TrH2_TrispH2_004457	HoiH23_PlH23_009108
HoiH23_PlH23_008531	TrH2_TrispH2_000679
HoiH23_PlH23_008531	Hhon_g00012.t1
HoiH23_PlH23_008531	Tadh_TriadG58215
Hhon_g00012.t1	TrH2_TrispH2_000679
Tadh_TriadG58215	TrH2_TrispH2_000679
Tadh_TriadG58215	Hhon_g00012.t1
Hhon_g00014.t1	TrH2_TrispH2_000677
Tadh_TriadG58213	TrH2_TrispH2_000677
Tadh_TriadG58213	Hhon_g00014.t1
HoiH23_PlH23_008528	TrH2_TrispH2_000677
HoiH23_PlH23_008528	Hhon_g00014.t1
HoiH23_PlH23_008528	Tadh_TriadG58213
Hhon_g00015.t1	TrH2_TrispH2_000676
HoiH23_PlH23_008527	TrH2_TrispH2_000676
HoiH23_PlH23_008527	Hhon_g00015.t1
HoiH23_PlH23_008527	Tadh_TriadG58212
Tadh_TriadG58212	TrH2_TrispH2_000676
Tadh_TriadG58212	Hhon_g00015.t1
Tadh_TriadG50516	TrH2_TrispH2_000671
Tadh_TriadG50516	Hhon_g00020.t1
Hhon_g00020.t1	TrH2_TrispH2_000671
HoiH23_PlH23_008521	TrH2_TrispH2_000671
HoiH23_PlH23_008521	Hhon_g00020.t1
HoiH23_PlH23_008521	Tadh_TriadG50516
Hhon_g00021.t1	TrH2_TrispH2_000670
HoiH23_PlH23_008520	TrH2_TrispH2_000670
HoiH23_PlH23_008520	Hhon_g00021.t1
HoiH23_PlH23_008520	Tadh_wf_g7082
Tadh_wf_g7082	TrH2_TrispH2_000670
Tadh_wf_g7082	Hhon_g00021.t1
HoiH23_PlH23_008515	TrH2_TrispH2_000665
HoiH23_PlH23_008515	Hhon_g00026.t1
HoiH23_PlH23_008515	Tadh_TriadG36227
Hhon_g00026.t1	TrH2_TrispH2_000665
Tadh_TriadG36227	TrH2_TrispH2_000665
Tadh_TriadG36227	Hhon_g00026.t1
Tadh_TriadG58198	TrH2_TrispH2_000664
Tadh_TriadG58198	Hhon_g00027.t1
HoiH23_PlH23_008514	TrH2_TrispH2_000664
HoiH23_PlH23_008514	Hhon_g00027.t1
HoiH23_PlH23_008514	Tadh_TriadG58198
Hhon_g00027.t1	TrH2_TrispH2_000664
Tadh_TriadG58188	TrH2_TrispH2_000656
Tadh_TriadG58188	Hhon_g00034.t1
Tadh_TriadG58188	HoiH23_PlH23_009604
Hhon_g00034.t1	TrH2_TrispH2_000656
HoiH23_PlH23_009604	TrH2_TrispH2_000656
HoiH23_PlH23_009604	Hhon_g00034.t1
HoiH23_PlH23_009603	TrH2_TrispH2_000655
HoiH23_PlH23_009603	Hhon_g00035.t1
Hhon_g00035.t1	TrH2_TrispH2_000655
Tadh_TriadG58187	TrH2_TrispH2_000655
Tadh_TriadG58187	Hhon_g00035.t1
Tadh_TriadG58187	HoiH23_PlH23_009603
Tadh_wf_g7057	TrH2_TrispH2_000652
Tadh_wf_g7057	Hhon_g00038.t1
Tadh_wf_g7057	HoiH23_PlH23_009600
HoiH23_PlH23_009600	TrH2_TrispH2_000652
HoiH23_PlH23_009600	Hhon_g00038.t1
Hhon_g00038.t1	TrH2_TrispH2_000652
HoiH23_PlH23_005222	TrH2_TrispH2_000642
HoiH23_PlH23_005222	Hhon_g00050.t1
HoiH23_PlH23_005222	Tadh_TriadG63338
Hhon_g00050.t1	TrH2_TrispH2_000642
Tadh_TriadG63338	TrH2_TrispH2_000642
Tadh_TriadG63338	Hhon_g00050.t1
Hhon_g00052.t1	TrH2_TrispH2_000640
HoiH23_PlH23_005224	TrH2_TrispH2_000640
HoiH23_PlH23_005224	Hhon_g00052.t1
HoiH23_PlH23_005224	Tadh_wf_g7045
Tadh_wf_g7045	TrH2_TrispH2_000640
Tadh_wf_g7045	Hhon_g00052.t1
Tadh_TriadG58170	TrH2_TrispH2_000637
Tadh_TriadG58170	Hhon_g00056.t1
Hhon_g00056.t1	TrH2_TrispH2_000637
HoiH23_PlH23_005227	TrH2_TrispH2_000637
HoiH23_PlH23_005227	Hhon_g00056.t1
HoiH23_PlH23_005227	Tadh_TriadG58170
Tadh_TriadG27926	TrH2_TrispH2_000632
Tadh_TriadG27926	Hhon_g00061.t1
Hhon_g00061.t1	TrH2_TrispH2_000632
HoiH23_PlH23_005232	TrH2_TrispH2_000632
HoiH23_PlH23_005232	Hhon_g00061.t1
HoiH23_PlH23_005232	Tadh_TriadG27926
Tadh_TriadG58162	TrH2_TrispH2_000630
Tadh_TriadG58162	Hhon_g00064.t1
HoiH23_PlH23_005234	TrH2_TrispH2_000630
HoiH23_PlH23_005234	Hhon_g00064.t1
HoiH23_PlH23_005234	Tadh_TriadG58162
Hhon_g00064.t1	TrH2_TrispH2_000630
Hhon_g00067.t1	TrH2_TrispH2_000627
Tadh_wf_g7031	TrH2_TrispH2_000627
Tadh_wf_g7031	Hhon_g00067.t1
HoiH23_PlH23_005237	TrH2_TrispH2_000627
HoiH23_PlH23_005237	Hhon_g00067.t1
HoiH23_PlH23_005237	Tadh_wf_g7031
Tadh_TriadG58157	TrH2_TrispH2_000625
Tadh_TriadG58157	Hhon_g00069.t1
HoiH23_PlH23_005239	TrH2_TrispH2_000625
HoiH23_PlH23_005239	Hhon_g00069.t1
HoiH23_PlH23_005239	Tadh_TriadG58157
Hhon_g00069.t1	TrH2_TrispH2_000625
Tadh_TriadG58156	TrH2_TrispH2_000624
Tadh_TriadG58156	Hhon_g00070.t1
Hhon_g00070.t1	TrH2_TrispH2_000624
HoiH23_PlH23_005240	TrH2_TrispH2_000624
HoiH23_PlH23_005240	Hhon_g00070.t1
HoiH23_PlH23_005240	Tadh_TriadG58156
HoiH23_PlH23_005241	TrH2_TrispH2_000623
HoiH23_PlH23_005241	Hhon_g00071.t1
HoiH23_PlH23_005241	Tadh_TriadG58155
Tadh_TriadG58155	TrH2_TrispH2_000623
Tadh_TriadG58155	Hhon_g00071.t1
Hhon_g00071.t1	TrH2_TrispH2_000623
Hhon_g00074.t1	TrH2_TrispH2_000619
Tadh_TriadG58152	TrH2_TrispH2_000619
Tadh_TriadG58152	Hhon_g00074.t1
HoiH23_PlH23_005244	TrH2_TrispH2_000619
HoiH23_PlH23_005244	Tadh_TriadG58152
HoiH23_PlH23_005244	Hhon_g00074.t1
Hhon_g00082.t1	TrH2_TrispH2_000607
HoiH23_PlH23_005255	TrH2_TrispH2_000607
HoiH23_PlH23_005255	Hhon_g00082.t1
