Cragig_cell_cluster	Procro_cell_cluster	Cragig_gene	Procro_gene	Cragig_Expression (Fold-change)	Procro_Expression (Fold-change)	EC_score	final_score	One-to-one-ortholog (yes/no)
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G4879	Procro_g9958	8.602970367499113	4.673566525377346	0.29912356369451365	3.971325028918892	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G4452	Procro_g14800	3.365057924993526	1.5726436795553869	0.7415404976435833	3.6615057050527207	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G25784	Procro_g3710	4.192299955939896	1.7875913155582517	0.5890242911934195	3.5223012176079127	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G5375	Procro_g9008	1.736145222816594	1.871336886100101	0.8127564723068602	2.9320044327532453	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G26985	Procro_g18166	1.8806138731880049	1.6454889066468197	0.8013747522281172	2.8257297415210076	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G26901	Procro_g28251	1.68277142118121	1.8301526558286232	0.793662283070655	2.788075343213498	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G35349	Procro_g19693	1.5532230560754952	1.9730473046938712	0.7904818540370704	2.787452732616938	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G2172	Procro_g24985	1.8173596464514905	1.5841468400108072	0.7980036092721808	2.7144144531596477	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G13092	Procro_g24359	1.7036204730226043	2.5939594952160663	0.6298902600402679	2.7070037637377027	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G3526	Procro_g13546	1.6320022837026111	1.7170530493419935	0.8075005883358817	2.7043641518029404	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G1350	Procro_g8091	1.893629239150968	1.5932435310108313	0.7728922664694858	2.6949769982210876	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G34618	Procro_g14893	1.7165531521088997	1.5179417871055196	0.8146392503768947	2.6349465326294936	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G12279	Procro_g37775	1.7825553037407011	1.5253826889175746	0.793378715152301	2.624447594418704	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G2853	Procro_g8823	1.5821775037645749	1.651779403576974	0.8107943005044242	2.6220738285494423	n
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G25420	Procro_g750	1.5922617682086	1.692214621524866	0.793592171341735	2.6065347498492435	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G28190	Procro_g31054	1.7638127870105866	1.5366801217762494	0.7880424655942445	2.6009285695166984	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G4502	Procro_g25967	1.643270097614034	1.6195548027945372	0.7914256965139725	2.5822834694089862	y
Cragig|Unk-Apical	Procro|Gut-2	Cragig_G3494	Procro_g26280	1.5607490553440746	1.5212256199295222	0.8152800267696773	2.5126723957605255	y
